N° Inventario;N° Posizione;NumeroScaffale;Dati proprietario;Argomento;Autore;Titolo;Sottotitolo;Parte di;Editore;LuogoDiPubblicazione;AnnoDiPubblicazione;Pagine;NumeroEdizione;Donazione di;Note;Ricerche;Tipologia;Prestito
10;01\00\005\003;;;Archeologia generale;Cordera L.;Tecniche di scavo;Tutto ciò che bisogna sapere per avvicinarsi correttamente all'indagine archeologica;Corso d'introduzione alle tematiche archeologiche;G.A.T.;Torino;1.997;7;1;;;Tecniche di scavo, strati naturali ed antropici, ricognizioni, forma dello scavo, scavo sperimentale, scavo d'emergenza, il pubblico, le unità dello scavo, strati: volumi, superfici, tipi, superfici in sé numerare le azioni, sequenza stratigrafica, la documentazione, grafici e fotografie, sezioni e prospetti, piante di unità stratigrafiche, piante composite o di periodo, ricostruzioni grafiche, edizioni delle strutture, cronologia assoluta, saggi, aree, settori, comportamenti da tenere sullo scavo;Dispensa;
11;01\00\006;;;Archeologia generale;Harris E. C.;Principi di stratigrafia archeologica;;;Nuova Italia Scientifica;Urbino;1.983;180;1;Carlo Vigo;Disegni;Il retroterra storico, strati, strati geologici e stratificazione, l'interfaccia nella stratificazione archeologica, gli archivi stratigrafici: la sezione archeologica, gli archivi stratigrafici: la pianta archeologica, correlazione, messa in fase e sequenze stratigrafiche,, manufatti, sequenze stratigrafiche e cronologia;;
12;01\00\007;;;Archeologia generale;Frederic L.;Manuale pratico di archeologia;;;Mursia;Azzate (Varese);1.970;401;3;;;Archeologia: definizioni, scopi, limiti,breve storia dell'archeologia, discipline e scienze ausiliarie dell'archeologia, l'archeologo, la preparazione, la tecnica di scavo, l'indagine archeologica, ricostruzione e conservazione, documentazione, scavi subacquei;Manuale;
13;01\00\008;;;Archeologia generale;Perring D.;Manuale di archeologia urbana;;Archeologia Uomo Territorio;G.A.I.;Vercelli;1.984;72;1;;Supplemento al n. 3 di Archeologia Uomo Territorio;Identificazione dei depositi archeologici, la registrazione scritta, i disegni, matrix, il computer, le fotografie, l'attività di scavo e la campionatura, interpretazioni, considerazioni post-scavo, tavola che descrive l'ordine delle azioni da seguire durante la registrazione;;
14;01\00\009;;;Archeologia generale;Borgognini Tarli S. e Pacciani E. (a cura di);I resti  umani nello scavo archeologico;;;Bulzoni Editore;?;;319;;Anna Ferrarese;Fotocopie di libro, fotografie e disegni;Archeologia e Antropologia. Considerazioni sull'approccio interdisciplinare, le tecniche di recupero dei resti ossei sul campo, i procedimenti di restauro in laboratorio, documentazione e conservazione, la determinazione del sesso e dell'età di morte. Analisi paleodemografica, osteometria e morfoscopia dello scheletro, identificazione e studio dei denti, i caratteri discontinui dello scheletro, lo studio paleopatologico dei resti umani, l'analisi chimica ed immunologica delle ossa, lo studio antropologico dei materiali incinerati, metodi fisici e chimici di datazione diretta;Raccolta di saggi;
15;01\00\010;;;Archeologia generale;Veronese S.;Come rendere visibile l'invisibile;I metodi non invasivi di prospezione geofisica consentono di individuare strutture archeologiche rimaste sepolte e sconosciute per secoli, salvandole così dagli interventi distruttivi dell'attività umana;Le scienze 379/marzo 2000;;;;;;;Fotocopie di articolo;I metodi non invasivi di prospezione geofisica, indagine magnetica, indagine magnetica e elettrica, indagine geoelettrica e georadar, Rovigo (chiesa del Cristo), Oderzo (Mutera), Villa Gritti, Este (Capodaglio), Este (cimitero), Campagna Lupìa (VE), Altino (VE);;
16;01\00\011;;;Archeologia generale;Marini Calvani M. (a cura di), Dezzi Bardeschi M., Lucchi L., Quilici L., Sasso D'Elia L., Bruzzi G., Tessoni M., Barbacini M., Parenti A., Bandini A., Giordani G., Allegri G., Peri S., Banzola V., Pagliettini G., Storchi S., Delsoldato G., Dallatana M.,;Tutela archeologica e pianificazione;Atti del convegno tenutosi a Parma il 9 giugno 1989;;Comune di Parma;Parma;1.989;39;1;;;;Atti di convegno;
588;01\00\012;;;Archeologia generale;Lerici C.M.;La prospezione archeologica;;;;;1.969;10;;;"articolo da "" Le Scienze"" num.5 anno 2 vol.1";"I progressi scientifici e tecnologici consentono oggi agli archeologi di esplorare zone più ampie e di ""scavare"" a colpo sicuro per riportare alla luce i tesori nascosti nel sottosuolo.";;
589;01\00\013;;;Archeologia generale;Chierici;Il sepolcreto di Bismantova;Altri oggetti del sepolcreto di Bismantova;;;;;;;;fotocopie;;;
286;01\00\014;;;Archeologia generale;Mano L.;Ferrante Rittatore von Vonwiller;la vicenda archeologica con il museo civico di Cuneo;;BSSS Cuneo;Cuneo;1.986;;;;estratto;;;
365;01\00\015;;;Archeologia generale;AA.VV.;Homo faber 2;Attività didattica 1990\1991;;;Parma;1.991;38;;;;I metalli preziosi.Perle.Pietre preziose e semipreziose.Ambra.Osso,corno e avorio.Cuoio e pellami.Filatura.Tessitura.Abbigliamento.Vetro.;;
371;01\00\016;;;Archeologia generale;AA.VV.;Tecniche di scavo;Dispensa II;;GAT;Torino;1.997;7;;;;;;
467;01\00\017;;;Archeologia generale;Kenyon M.K.;Introduzione all'archeologia;;;Mondadori;Verona;1.966;249;;;;;;
563;01\00\018;;;Archeologia generale;Marucchi Orazio;Manuale di archeologia cristiana;;;Descléè;Roma;1.923;397;;;;;;
185;01\00\019;;;Archeologia generale;Pennacchioni Massimo;per il disegno di manufatti litici;;Corso d'introduzione alle tematiche archeologiche 4-aprile\13 giugno 1997;GAR;;;10;;;fotocopie;;;
570;01\00\020;;;Archeologia generale;Mano Livio;Tecniche del restauro archeologico;;;GAT;Torino;1.984;6;;;;;;
574;01\00\021;;;Archeologia generale;Guerreschi;Note per una classificazione delle ceramiche preistoriche;;;;;;;;;"fotocopie  da ""Sibrium 11 1971\2  pag 215 e seg.";;;
575;01\00\022;;;Archeologia generale;Necci Maurizio;La fotografia archeologica;;;NIS;Roma;1.992;130;;;fotocopie.   Contiene anche altre fotocopie su fotografia in generale;;;
591;01\00\023;;;Archeologia generale;Dixon - Cann - Renfrew;L'ossidiana e le origini del commercio;;;;;;9;;;Fotocopie;In varie località neolitiche attorno al Mediterraneo si rinvengono oggetti di vetro vulcanico. L'analisi spettroscopica ha rivelato che il materiale grezzo proveniva molto spesso da grande distanza.;;
632;01\00\024;;;Archeologia generale;AA.VV.;Datazioni;;;Gat;Torino;;30;;;fotocopie;;;
633;01\00\025;;;Archeologia generale;AA.VV.;I metalli;;;Gat;Torino;;15;;;fotocopie;;;
634;01\00\026;;;Archeologia generale;AA.VV.;Archaeological aspects of woodland ecology;;;;;1.982;10;;;fotocopie;;;
729;01\00\027;;;Archeologia generale;Cambi - Terragno;Introduzione all'archeologia dei paesaggi;;;Carocci;Roma;2.004;313;;;;;Atti di convegno;
762;01\00\027;;;Archeologia generale;McGovern Patrick;L'archeologo e l'uva;Vite e vino dal Neolitico alla Grecia arcaica;;Carocci;Roma;2.004;334;;;;;;
840;01\00\028;;;Archeologia generale;Gabucci Ada;Informatica applicata all'archeologia;;;Carocci;Roma;2.005;127;;;;;;
841;01\00\029;;;Archeologia generale;Giannichedda Enrico;Archeologia teorica;;;Carocci;Roma;2.004;125;;;;;;
842;01\00\030;;;Archeologia generale;Cambi Franco;Archeologia dei paesaggi antichi:fonti e diagnostica;;;Carocci;Roma;2.005;125;;;;;;
849;01\00\031;;;Archeologia generale;AA.VV.;Alla moda del tempo;Costume,ornamento,bellezza nel Piemonte antico;;Allemandi;Torino;2.004;65;;;;;;
897;01\00\032;;;Archeologia generale;"Cima 
Marco";Uomini e terre in canvese tra età romana emedioevo;;;nautilus;Torino;2.003;488;;;;;;
982;01\00\033;;;Archeologia generale;AAVV;Geofisica per l'archeologia;Possibilità e limiti;Atti del convegno;Ferpenta;Roma;2.008;142;;;;;;
17;01\01\001;;;Archeologia miscellanee;;GAR XV anniversario. Atti del convegno Tolfa 1978;;;GAR;Roma;1.980;159;1;;;Ritrovamenti del Paleolitico medio nella zona di Orte. Una presenza dell’età del Bronzo a colle Montarozzo. L’insediamento protostorico di Campetti. La tomba di poggio del forno. Tomba del 7° sec. A cenciano Diruto. Cenni preliminari sulla via degli inferi. L’abitato arcaico di colle Crepadosso. La tagliata della Polledrara. Cereatae Marianae. la villa  romana di valle luterana . la necraopoli romana delle Morre della Civita. I vetri della necropoli delle morre della civita Presenze e fornaci romane tra Orte e vasanello. Tolfa: un esempio di lettura di tessuto urbano medievale;Pubblicazioni G.A.I.;
504;01\01\001\002;;;Archeologia miscellanee;;GAR XV anniversario. Atti del convegno Tolfa 1978;;;GAR;Roma;;159;1;;;Ritrovamenti del Paleolitico medio nella zona di Orte. Una presenza dell’età del Bronzo a colle Montarozzo. L’insediamento protostorico di Campetti. La tomba di poggio del forno. Tomba del 7° sec. A cenciano Diruto. Cenni preliminari sulla via degli inferi. L’abitato arcaico di colle Crepadosso. La tagliata della Polledrara. Cereatae Marianae. la villa  romana di valle luterana . la necraopoli romana delle Morre della Civita. I vetri della necropoli delle morre della civita Presenze e fornaci romane tra Orte e vasanello. Tolfa: un esempio di lettura di tessuto urbano;;
505;01\01\001\003;;;Archeologia miscellanee;;GAR XV anniversario. Atti del convegno Tolfa 1978;;;GAR;Roma;;159;1;;;Ritrovamenti del Paleolitico medio nella zona di Orte. Una presenza dell’età del Bronzo a colle Montarozzo. L’insediamento protostorico di Campetti. La tomba di poggio del forno. Tomba del 7° sec. A cenciano Diruto. Cenni preliminari sulla via degli inferi. L’abitato arcaico di colle Crepadosso. La tagliata della Polledrara. Cereatae Marianae. la villa  romana di valle luterana . la necraopoli romana delle Morre della Civita. I vetri della necropoli delle morre della civita Presenze e fornaci romane tra Orte e vasanello. Tolfa: un esempio di lettura di tessuto urbano;;
18;01\01\002;;;Archeologia miscellanee;AA.VV.;Guida archeologica di Torino;;;G.A.T.;Torino;1.995;79;1;;Materiale fotografico, percorso archeologico;Il territorio piemontese alla vigilia della romanizzazione, l'insediamento preromano dei Taurini, la romanizzazione del Piemonte, l'evoluzione urbana: da Augusta Taurinorum a Taurinis, le recenti scoperte archeologiche a Torino, in cammino per la città romana e medioevale, profilo del GAT, profilo dei G.A.I..;Raccolta di saggi, guida di città;
19;01\01\003\001;;;Archeologia miscellanee;AA.VV.;Guida archeologica di Torino;;;G.A.T.;Torino;1.996;112;2;;Materiale fotografico, percorso archeologico, 2 copie;la geomorfologia del territorio, il territorio piemontese alla vigilia della romanizzazione, l'insediamento preromano dei Taurini, la romanizzazione del Piemonte, l'evoluzione urbana: da Augusta Taurinorum a Taurinis, la diocesi di Torino tra il IV e l'VIII secolo, come si parlava a Torino nel Medioevo, le recenti scoperte archeologiche a Torino, in cammino per la città romana e medioevale, profilo del GAT, profilo dei G.A.I..;Raccolta di saggi, guida di città;
20;01\01\003\002;;;Archeologia miscellanee;AA.VV.;Guida archeologica di Torino;;;G.A.T.;Torino;1.996;112;2;;Materiale fotografico, percorso archeologico;la geomorfologia del territorio, il territorio piemontese alla vigilia della romanizzazione, l'insediamento preromano dei Taurini, la romanizzazione del Piemonte, l'evoluzione urbana: da Augusta Taurinorum a Taurinis, la diocesi di Torino tra il IV e l'VIII secolo, come si parlava a Torino nel Medioevo, le recenti scoperte archeologiche a Torino, in cammino per la città romana e medioevale, profilo del GAT, profilo dei G.A.I..;Raccolta di saggi, guida di città;
21;01\01\004;;;Archeologia miscellanee;AA.VV.;La città  quadrata;"Visita alla Torino romana e medioevale entro la cerchia delle antiche mura. Estratto dalla ""Guida archeologica di Torino""";;G.A.T.;Torino;1.994;16;1;;;Rapido cenno storico-urbanistico, in cammino per la città;Raccolta di saggi, guida di città;
506;01\01\004\002;;;Archeologia miscellanee;;La città quadrata;Visita alla Torino romana e medioevale entro la cerchia delle;;GAT;Torino;1.994;16;1;;;Rapido cenno storico-urbanistico, in cammino per la città;;
22;01\01\005;;;Archeologia miscellanee;AA.VV;La collina  torinese: quattro passi tra storia, arte ed archeologia;Le immagini e i testi della mostra;;G.A.T.;Torino;1.998;49;1;;Materiale fotografico, piantine;"La collina torinese, cenni di toponomastica, geomorfologia della collina torinese, la collina torinese in età preistorica, Castelvecchio: il sito protostorico, la Centuriazione di Chieri, l'acquedotto romano di Chieri, epigrafi rinvenuti nel territorio chierese, la via Fulvia, il versante torinese della collina, la necropoli longobarda di Testona, la ceramica longobarda (necropoli di Testona), ingerenze vescovili sulla collina torinese: Landolfo, ingerenze vescovili sulla collina torinese: Carlo, la via Francigena tra Torino e Chieri, i Templari, S. Maria di Celle, S. Pietro di Celle, la misurazione del tempo nel Medioevo, monete medioevali in Piemonte, Castelvecchio: la fortezza medioevale, il ""castrum"" vescovile di Testona, Testona: l'origine del Comune, Testona: l'espansione nel ""poderium"", Testona: distruzione o abbandono?, da Testona a Moncalieri, Bric S.Vito, Monfalcone, un insediamento scomparso, come si parlava nel Chierese, il Castello di Montosolo, antiche unità di misura, il paesaggio collinare nel Medioevo, Orti medioevali, volontariato in collina, rinvenimenti archeologici di epoca preistorica, romana, medioevale";Raccolta dei pannelli della mostra.;
23;01\01\006;;;Archeologia miscellanee;AA.VV;La collina  torinese: quattro passi tra storia, arte ed archeologia;Le immagini e i testi della mostra. Addendum 1;;G.A.T.;Torino;2.000;8;1;;Materiale fotografico, piantine;Chieri e le sue mura (prima e seconda cerchia), la chiesa di S. Sebastiano a Pecetto;Raccolta dei pannelli della mostra.;
24;01\01\007;;;Archeologia miscellanee;Marnetto M.;La collina  torinese: quattro passi tra storia, arte ed archeologia;;Corso d'introdizione alle tematiche archeologiche;GAT;Torino;1.997;9;1;;Materiale fotografico, piantine;Storia della collina torinese, il territorio, preistoria, periodo romano, alto medioevo, medioevo, pianta schematica del sito di Bric S.Vito;Saggio;
25;01\01\008;;;Archeologia miscellanee;AA.VV.;Resoconto annuale 1992 dell'intervento archeologico nel sito di Bric San Vito;;;G.A.T.;Torino;1.992;60;1;;Piantine, grafici;Il territorio, le notizie conosciute, i ritrovamenti archeologici nella zona, l'indagine storico-archeologica, l'attività in corso, rapporti con la Soprintendenza Archeologica del Piemonte e con altri Enti, resoconto dell'attività archeologica, prime considerazioni ed ipotesi,;;
26;01\01\009\001;;;Archeologia miscellanee;AA.VV.;Resoconto annuale 1994 dell'intervento archeologico nel sito di Bric San Vito;;;G.A.T.;Torino;1.994;60;1;;Piantine, grafici, fotografie, 3 copie;Il territorio, quadro storico, l'attività in corso, rapporti con la Soprintendenza Archeologica del Piemonte e con altri Enti, resoconto dell'attività archeologica, toponimi ed altri insediamenti da approfondire, le vie di comunicazione, considerazioni ed ipotesi da approfondire, catalogo;raccolta di saggi, resoconto di attività;
27;01\01\009\002;;;Archeologia miscellanee;AA.VV.;Resoconto annuale 1994 dell'intervento archeologico nel sito di Bric San Vito;;;G.A.T.;Torino;1.994;60;1;;Piantine, grafici, fotografie, 3 copie;Il territorio, quadro storico, l'attività in corso, rapporti con la Soprintendenza Archeologica del Piemonte e con altri Enti, resoconto dell'attività archeologica, toponimi ed altri insediamenti da approfondire, le vie di comunicazione, considerazioni ed ipotesi da approfondire, catalogo;raccolta di saggi, resoconto di attività;
28;01\01\009\003;;;Archeologia miscellanee;AA.VV.;Resoconto annuale 1994 dell'intervento archeologico nel sito di Bric San Vito;;;G.A.T.;Torino;1.994;60;1;;Piantine, grafici, fotografie, 3 copie;Il territorio, quadro storico, l'attività in corso, rapporti con la Soprintendenza Archeologica del Piemonte e con altri Enti, resoconto dell'attività archeologica, toponimi ed altri insediamenti da approfondire, le vie di comunicazione, considerazioni ed ipotesi da approfondire, catalogo;raccolta di saggi, resoconto di attività;
29;01\01\010\001;;;Archeologia miscellanee;AA.VV.;III convegno dei Gruppi Archeologici del Nord Italia;Interventi del G.A.T.;;G.A.T.;Torino;1.987;30;;;3 copie;III convegno dei Gruppi Archeologici del Nord Italia, Tutela siti archeologici, scavi Archeologici G.A.T.,Proposta per un museo locale, Scavo di Chianocco, Primo calcolitico nelle Alpi Occidentali;Atti di convegno;
30;01\01\010\002;;;Archeologia miscellanee;AA.VV.;III convegno dei Gruppi Archeologici del Nord Italia;Interventi del G.A.T.;;G.A.T.;Torino;1.987;30;;;3 copie;III convegno dei Gruppi Archeologici del Nord Italia, Tutela siti archeologici, scavi Archeologici G.A.T.,Proposta per un museo locale, Scavo di Chianocco, Primo calcolitico nelle Alpi Occidentali;Atti di convegno;
31;01\01\010\003;;;Archeologia miscellanee;AA.VV.;III convegno dei Gruppi Archeologici del Nord Italia;Interventi del G.A.T.;;G.A.T.;Torino;1.987;30;;;3 copie;III convegno dei Gruppi Archeologici del Nord Italia, Tutela siti archeologici, scavi Archeologici G.A.T.,Proposta per un museo locale, Scavo di Chianocco, Primo calcolitico nelle Alpi Occidentali;Atti di convegno;
32;01\01\011;;;Archeologia miscellanee;Moscati Sabatino;Italia ricomparsa;Preistorica, greca, fenicia;;Touring Club Italiano;Milano;1.983;178;1;;Molto materiale fotografico;"Italia preistorica: l'uomo d'Isernia, i pittori di Porto Badisco, Lipari: un archivio del passato, gli incisori della Valcamonica, le statue-stele della Lunigiana, megaliti in Valle d'Aosta, nel lago di Viverone, nel lago di Bolsena. Italia greca: i Micenei in Sardegna, la risurrezione di Sibari, Crotone radiografata, l'urbanistica di Metaponto,  le rivelazioni del Salento, il porto di Brindisi, la necropoli di Rutigliano, i bronzi di Riace, le mura di Naxos, alle origini di Siracusa, Menandro alle isole Eolie, i templi d'Imera. 
Italia fenicia: la stele di Mozia, le navi di Marsala, Grotta Regina, Monte Adranone, la fortezza di Monte Sirai, la stele di Sulcis, le figurine di Bithia, il tempio di Antas, i gioielli di Tharros, Monte Luna, il sistema delle fortezze.";Saggio;
33;01\01\012;;;Archeologia miscellanee;AA.VV.;Le grandi  avventure dell'archeologia;I misteri delle civiltà scomparse I;Le grandi avventure dell'archeologia I;Armando Curcio Editore;Cinisello Balsamo (MI);;392;1;Deprado;Materiale fotografico;Gli enigmi della scrittura, la scrittura più antica del mondo, faraoni e geroglifici, la prova del diluvio, la voce delle rupi, le scritture cretesi, il  mondo delle tavolette, la misura del tempo, la teoria delle tre età, cronologia comparata, caldo e freddo, la statistica del polline, l'albero infinito, siamo tutti radioattivi, l'archeologia nell'antichità, le pietre del fulmine, i fondatori mitici, archeologia e propaganda, tombaroli nell'antichità, archeologia per la storia, preistoria, due milioni di anni, più uomo che scimmia, i grandi cacciatori, musei preistorici, i contadini di Chatal Huyuk, la scienza per l'archeologia, l'uomo e l'ambiente, i pascoli del Sahara, Vicino Oriente, il fascino della Bibbia, per prima Babilonia, alla ricerca di Ninive, Ninive diventa Nimrud, una spedizione catastrofica, si nuovo Babilonia, il popolo di Cheta;raccolta di saggi;
34;01\01\013;;;Archeologia miscellanee;AA.VV.;Le grandi  avventure dell'archeologia;I misteri delle civiltà scomparse II;Le grandi avventure dell'archeologia II;Armando Curcio Editore;Cinisello Balsamo (MI);;382;;Deprado;Materiale fotografico;Vicino Oriente (fine), il popolo di Cheta, le tombe reali di Ur, archivi di stato del 2000 a.C., la città più antica del mondo, i rotoli del Mar Morto, un suicidio collettivo, un impero perduto e ritrovato, tra Oriente ed Occidente, Egitto, aglio e cipolle per le piramidi, l'Egitto di Napoleone, a caccia di antichità, primi segreti svelati, l'idiota delle piramidi, vita eterna, mummie per tutti, dal dio Apis all'Aida di Verdi, Tutankhamon, la vedova si risposa, un faraone nella Ville Lumière, il trasloco di Abu Simbel, per ordine di Settimio Severo, l'Egiziano viveva così;raccolta di saggi;
35;01\01\014;;;Archeologia miscellanee;AA.VV.;Le grandi  avventure dell'Archeologia;I misteri delle grandi civiltà V;Le grandi avventure dell'archeologia;Armando Curcio Editore;Cinisello Balsamo (MI);;392;1;Deprado;Materiale fotografico;Europa e Italia protostorica, da Erodoto all'Esposizione Universale, il secolo della scienza, cercatori di rame, i pastori degli Appennini, i metallurgi di Boemia, tumuli tra il Reno e i Carpazi, i campi di urne, la tomba ed il palazzo, Murus gallicus, archeologia delle migrazioni, i cavalieri delle steppe, dal nostro inviato speciale, Medio e Estremo Oriente, Susa ha 6000 anni, il crocevia dell'Asia, il viaggio dei lapislazzuli, Mohenjo-daro ricostruita nove volte, i cavalli impazziti di Hasanlu, un giallo archeologico, il primo impero universale, le cittadelle di fango;saggio;
36;01\01\015;;;Archeologia miscellanee;AA.VV.;Le grandi  avventure dell'archeologia;I misteri delle civiltà scomparse VI;Le grandi avventure dell'archeologia VI;Armando Curcio Editore;Cinisello Balsamo (MI);;378;;Deprado;Materiale fotografico;Medio ed Estremo Oriente, la via della seta, Aristotele in Battriana, Buddha e Apollo, Buddha e Maometto, riso e miglio per la Cina, il commercio della giada, l'oracolo della tartaruga, la Grande Muraglia, i bronzisti del Siam, gli dei muoiono, molluschi a colazione, America Precolombiana, cinquanta dollari per una città, i pionieri, testimoni oculari, l'Omero del Nuovo Mondo, Thompson come Schliemann, Aztechi, Maya, Incas, l'Impero del Sole, l'uomo americano, altre archeologie: archeologia subacquea e archeologia medioevale;raccolta di saggi;
37;01\01\016;;;Archeologia miscellanee;AA.VV.;Archeologia in Valle d'Aosta;Dal Neolitico alla caduta dell'Impero Romano (3500 a.C. - V sec. D.C.;;Musumegi;Aosta;1.982;191;4;;Materiale fotografico, copia in francese;Archeologia in Valle d'Aosta: breve profilo paleomorfologico della conca di Aosta, la Valle d'Aosta nella preistoria e nella protostoria, Romani e Salassi: dall'intervento di Appio Claudio alla fondazione di Augusta Praetoria, Augusta Praetoria ed il suo territorio, l'organizzazione sociale di Augusta Praetoria attraverso le testimonianze epigrafiche, le monete, documentazione sui culti aostani, antichi reperti osteologici della Val d'Aosta;raccolta di saggi;
38;01\01\017;;;Archeologia miscellanee;Bertone Aureliano;Le due metà del cielo;;;civico museo archeologico di Chiomonte;Chiomonte;1.999;15;;;;;;
39;01\01\018;;;Archeologia miscellanee;AA.VV.;Archeologia in Lombardia;;;Arti Grafiche Amilcare Pizzi S.p.A.;Milano;1.982;237;;;Materiale fotografico;Ambiente naturale. Paleolitico. Neolitico. Età del rame. Arte rupestre e statue-stele in Val Camonica. Età del Bronzo. Le culture dell’Età del Bronzo. Protostoria.;Saggio;
40;01\01\019;;;Archeologia miscellanee;AA.VV.;Al di là del Po ci sono i Salassi;Archeologia a Pavone Canavese e nell'Eporediese;;Bolognino;Ivrea;2.003;17;;Ramella P.;;;;
41;01\01\020;;;Archeologia miscellanee;Grazi R. R., Cielo A.;Il territorio di Avigliana;Dalla preistoria agli inizi dell'epoca sabauda;;Morra;Condove;1.997;78;1;;;Il territorio di Avigliana, Preistoria e Protostoria, L'età romana, Da Costantino a Carlo Magno, verso l'età d'oro sabauda;saggio;
42;01\01\021;;;archeologia miscellanea;AA.VV.;Lucania Archeologica anno I numeri 1- 2;;;GA Lucano;Muro Lucano;1.979;36;1;;;Seconda campagna di scavi Del Galu a San Giovanni di Ruoti. Una ceramica comune italiana del V sec. dC nota preliminare su un villaggio di facies culturale subappenninica a Cannalicchio. Il territorio di Castel Grande PZ Attività della soprintendenza archeologica. Della Basilicata.;Pubblicazioni G.A.I.;
43;01\01\022;;;archeologia miscellanea;AA.VV.;Lucania Archeologica anno II n. 1-2-3-4;;;GA Lucano;Muro Lucano;1.980;;;;;Saggi di scavo a Banzi contrada Cervarezza. Un tentativo di approccio alla paleostoria del potentino. L’attivitaà archeologica anglo-americana sul confine tra Basilicata e Puglia. Il Neolitico a Gravina. Relazione tenuta il 2-5 dal prof. Francesco Rinaldi in occasione dll’apertura al pubblico del nuovo museo archeologico provinciale di PZ. Sull’insediamento di Monte Giano. Una chiave di lettura dell’arte dei primitivi in relazione alla situazione socioculturale della Lucania.;Pubblicazioni G.A.I.;
