Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Default (0 = No, 1 = Yes)
14;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Borgognini Tarli S. e Pacciani E. (a cura di):1@Bulzoni Editore:1@?:1@n.d.:1@319:1;1
15;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Veronese S.:1@n.d.:1@n.d.:1@n.d.:1@n.d.:1;1
16;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Marini Calvani M. (a cura di), Dezzi Bardeschi M., Lucchi L., Quilici L., Sasso D'Elia L., Bruzzi G., Tessoni M., Barbacini M., :1@Comune di Parma:1@Parma:1@1989:1@39:1;1
17;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Lerici C.M.:1@n.d.:1@n.d.:1@1969:1@10:1;1
18;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Chierici:1@n.d.:1@n.d.:1@n.d.:1@n.d.:1;1
19;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Mano L.:1@BSSS Cuneo:1@Cuneo:1@1986:1@n.d.:1;1
20;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@n.d.:1@Parma:1@1991:1@38:1;1
21;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@GAT:1@Torino:1@1997:1@7:1;1
22;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Kenyon M.K.:1@Mondadori:1@Verona:1@1966:1@249:1;1
23;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Marucchi Orazio:1@Descléè:1@Roma:1@1923:1@397:1;1
24;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Pennacchioni Massimo:1@GAR:1@n.d.:1@n.d.:1@10:1;1
25;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Mano Livio:1@GAT:1@Torino:1@1984:1@6:1;1
26;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Guerreschi:1@n.d.:1@n.d.:1@n.d.:1@n.d.:1;1
27;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Necci Maurizio:1@NIS:1@Roma:1@1992:1@130:1;1
28;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Dixon - Cann - Renfrew:1@n.d.:1@n.d.:1@n.d.:1@9:1;1
29;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@Gat:1@Torino:1@n.d.:1@30:1;1
30;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@Gat:1@Torino:1@n.d.:1@15:1;1
31;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@n.d.:1@n.d.:1@1982:1@10:1;1
32;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Cambi - Terragno:1@Carocci:1@Roma:1@2004:1@313:1;1
33;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;McGovern Patrick:1@Carocci:1@Roma:1@2004:1@334:1;1
34;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Gabucci Ada:1@Carocci:1@Roma:1@2005:1@127:1;1
35;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Giannichedda Enrico:1@Carocci:1@Roma:1@2004:1@125:1;1
36;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Cambi Franco:1@Carocci:1@Roma:1@2005:1@125:1;1
37;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@Allemandi:1@Torino:1@2004:1@65:1;1
38;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Cima Marco:1@nautilus:1@Torino:1@2003:1@488:1;1
39;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AAVV:1@Ferpenta:1@Roma:1@2008:1@142:1;1
40;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;n.d.:1@GAR:1@Roma:1@1980:1@159:1;1
41;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;n.d.:1@GAR:1@Roma:1@n.d.:1@159:1;1
42;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;n.d.:1@GAR:1@Roma:1@n.d.:1@159:1;1
43;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@G.A.T.:1@Torino:1@1995:1@79:1;1
44;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@G.A.T.:1@Torino:1@1996:1@112:1;1
45;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@G.A.T.:1@Torino:1@1996:1@112:1;1
46;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@G.A.T.:1@Torino:1@1994:1@16:1;1
47;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;n.d.:1@GAT:1@Torino:1@1994:1@16:1;1
48;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@G.A.T.:1@Torino:1@1998:1@49:1;1
49;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@G.A.T.:1@Torino:1@2000:1@8:1;1
50;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Marnetto M.:1@GAT:1@Torino:1@1997:1@9:1;1
51;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@G.A.T.:1@Torino:1@1992:1@60:1;1
52;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@G.A.T.:1@Torino:1@1994:1@60:1;1
53;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@G.A.T.:1@Torino:1@1994:1@60:1;1
54;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@G.A.T.:1@Torino:1@1994:1@60:1;1
55;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@G.A.T.:1@Torino:1@1987:1@30:1;1
56;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@G.A.T.:1@Torino:1@1987:1@30:1;1
57;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@G.A.T.:1@Torino:1@1987:1@30:1;1
58;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Moscati Sabatino:1@Touring Club Italiano:1@Milano:1@1983:1@178:1;1
59;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@Armando Curcio Editore:1@Cinisello Balsamo (MI):1@n.d.:1@392:1;1
60;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@Armando Curcio Editore:1@Cinisello Balsamo (MI):1@n.d.:1@382:1;1
61;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@Armando Curcio Editore:1@Cinisello Balsamo (MI):1@n.d.:1@392:1;1
62;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@Armando Curcio Editore:1@Cinisello Balsamo (MI):1@n.d.:1@378:1;1
63;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@Musumegi:1@Aosta:1@1982:1@191:1;1
64;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Bertone Aureliano:1@civico museo archeologico di Chiomonte:1@Chiomonte:1@1999:1@15:1;1
65;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@Arti Grafiche Amilcare Pizzi S.p.A.:1@Milano:1@1982:1@237:1;1
66;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@Bolognino:1@Ivrea:1@2003:1@17:1;1
67;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Grazi R. R., Cielo A.:1@Morra:1@Condove:1@1997:1@78:1;1
68;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@GA Lucano:1@Muro Lucano:1@1979:1@36:1;1
69;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@GA Lucano:1@Muro Lucano:1@1980:1@n.d.:1;1
70;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@GA Lucano:1@Muro Lucano:1@1984:1@n.d.:1;1
71;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@GA Lucano:1@Muro Lucano:1@1984:1@n.d.:1;1
72;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@GA Lucano:1@Muro Lucano:1@1985:1@n.d.:1;1
73;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@GA Lucano:1@Muro Lucano:1@1986:1@n.d.:1;1
74;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@GAV:1@Vercelli:1@1983:1@n.d.:1;1
75;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@GA Lucano:1@Muro Lucano:1@1984:1@40:1;1
76;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@n.d.:1@Torino:1@1993:1@n.d.:1;1
77;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@n.d.:1@Torino:1@1994:1@n.d.:1;1
78;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@n.d.:1@Torino:1@1995:1@n.d.:1;1
79;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@n.d.:1@Torino:1@1996:1@268:1;1
80;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@n.d.:1@Torino:1@1998:1@260:1;1
81;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@n.d.:1@Torino:1@1984:1@n.d.:1;1
82;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@n.d.:1@Torino:1@1984:1@n.d.:1;1
83;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@n.d.:1@Torino:1@1984:1@n.d.:1;1
84;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@n.d.:1@Torino:1@1984:1@n.d.:1;1
85;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@n.d.:1@Torino:1@1987:1@n.d.:1;1
86;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@n.d.:1@Torino:1@1988:1@n.d.:1;1
87;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@Segusium:1@n.d.:1@n.d.:1@n.d.:1;1
88;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@n.d.:1@Torino:1@2002:1@n.d.:1;1
89;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@n.d.:1@Torino:1@1982:1@n.d.:1;1
90;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@n.d.:1@Torino:1@1972:1@69:1;1
91;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@n.d.:1@n.d.:1@n.d.:1@n.d.:1;1
92;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@n.d.:1@n.d.:1@n.d.:1@n.d.:1;1
93;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@n.d.:1@Torino:1@1982:1@n.d.:1;1
94;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@n.d.:1@Torino:1@1982:1@79:1;1
95;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@n.d.:1@Torino:1@1984:1@n.d.:1;1
96;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@n.d.:1@Torino:1@1990:1@n.d.:1;1
97;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@n.d.:1@Torino:1@1986:1@n.d.:1;1
98;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@Gruppi archeologi nord italia:1@Milano:1@1982:1@n.d.:1;1
99;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@Gruppi archeologi nord italia:1@Milano:1@1992:1@n.d.:1;1
100;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@Gruppi archeologi nord italia:1@Milano:1@1993:1@n.d.:1;1
101;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@Gruppi archeologi nord italia:1@Milano:1@1994:1@n.d.:1;1
102;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@Gruppi archeologi nord italia:1@Milano:1@1995:1@n.d.:1;1
103;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Gruppo Archeologico Milanese:1@GAM:1@Milano:1@n.d.:1@n.d.:1;1
104;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@n.d.:1@Milano:1@1996:1@192:1;1
105;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@Gruppi archeologi nord italia:1@Milano:1@1997:1@n.d.:1;1
106;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@Gruppi archeologi nord italia:1@Milano:1@1998:1@n.d.:1;1
107;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@Gruppi archeologi nord italia:1@Milano:1@1999:1@n.d.:1;1
108;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@Gruppi archeologi nord italia:1@Milano:1@1999:1@n.d.:1;1
109;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@Gruppi archeologi nord italia:1@Milano:1@2000:1@n.d.:1;1
110;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@Gruppi archeologi nord italia:1@Milano:1@2000:1@n.d.:1;1
111;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@Gruppi archeologi nord italia:1@Milano:1@1983:1@n.d.:1;1
112;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@Gruppi archeologi nord italia:1@Milano:1@1984:1@n.d.:1;1
113;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@Gruppi archeologi nord italia:1@Milano:1@1984:1@n.d.:1;1
114;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Perring Dominic:1@Gruppi archeologi nord italia:1@Milano:1@1982:1@75:1;1
115;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@Gruppi archeologi nord italia:1@Milano:1@1985:1@n.d.:1;1
116;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@Gruppi archeologi nord italia:1@Milano:1@1986:1@n.d.:1;1
